project,date,commit_hash,files,statements,assignment_expression_files_percentage,variable_annotation_files_percentage,function_with_annotation_files_percentage,function_without_annotation_files_percentage,assign_files_percentage,assign_with_type_comment_files_percentage,aug_assign_files_percentage
astropy_specutils,2024-12-31,248f86e8e58502af256df9874d8bb3455240e307,89.0,9987.0,0.0,0.0,2.247191011235955,94.3820224719101,98.87640449438202,0.0,26.96629213483146
baliga-lab_cmonkey2,2024-12-31,aeabf13ae133cb72d8fe0861b8cac0afcf1beb55,79.0,8283.0,0.0,0.0,0.0,68.35443037974683,73.41772151898735,0.0,26.582278481012654
batiste_django-page-cms,2024-12-31,f19e42e2bda51581a1aa8a46377efa17524619c8,71.0,4482.0,0.0,0.0,0.0,64.7887323943662,91.54929577464789,0.0,7.042253521126761
beaker-project_beaker,2024-12-31,11cf7b7b0b3d8c7da90516ce2e74be509b1c2d00,469.0,45488.0,0.0,0.0,0.0,89.33901918976545,90.40511727078892,0.0,6.823027718550106
becksteinlab_gromacswrapper,2024-12-31,ab886374d192987973d37fc950bfe341b6ae8633,48.0,5516.0,0.0,0.0,0.0,93.75,95.83333333333334,0.0,22.916666666666664
beetbox_beets,2024-12-31,af41eef77604fb071bcf998e5ff35a99c89e71cf,179.0,30900.0,2.2346368715083798,11.1731843575419,15.083798882681565,93.85474860335195,97.76536312849163,0.0,29.608938547486037
behave_behave,2024-12-31,8aa63aac16d2992df4e3eb6895d84017b888319d,213.0,20267.0,0.0,0.0,2.8169014084507045,87.32394366197182,87.79342723004694,0.0,17.84037558685446
benadida_helios-server,2024-12-31,39c8902472df206ad1f075ce6255a5d4382009e2,79.0,6629.0,0.0,0.0,0.0,67.08860759493672,98.73417721518987,0.0,15.18987341772152
benoitc_gunicorn,2024-12-31,bacbf8aa5152b94e44aa5d2a94aeaf0318a85248,188.0,7497.0,0.0,0.0,0.0,41.48936170212766,96.80851063829788,0.0,11.170212765957446
bikalims_bika.lims,2024-12-31,e03e46fc4818ebf1405b2c982dd69b782835471a,493.0,40543.0,0.0,0.0,0.0,88.23529411764706,96.95740365111561,0.0,17.647058823529413
biopython_biopython,2024-12-31,0f9f60b43db40efa247b2781812890e00c18b039,534.0,190487.0,0.0,4.307116104868914,6.5543071161048685,93.07116104868915,99.25093632958801,0.0,41.38576779026217
bottlepy_bottle,2024-12-31,a8dfef301dec35f13e7578306002c40796651629,29.0,5949.0,0.0,0.0,0.0,82.75862068965517,93.10344827586206,0.0,10.344827586206897
braintree_braintree_python,2024-12-31,6aa90054128542b22d7b449b76fea52c4405c128,281.0,15948.0,0.0,0.0,0.0,84.69750889679716,79.00355871886121,0.0,3.558718861209965
breathe-doc_breathe,2024-12-31,ea348fea641dd03bea518318873b320767409ef9,32.0,9868.0,0.0,28.125,53.125,56.25,90.625,3.125,21.875
bruvellu_cifonauta,2024-12-31,cb885a1ddccceb58361a015b99b12e7b5e8804b1,323.0,7701.0,0.0,0.0,0.30959752321981426,21.981424148606813,98.76160990712074,0.0,1.238390092879257
buildbot_buildbot,2024-12-31,ff8f023a57ddb48d1d2eef915dca1462e68ee647,845.0,102423.0,0.4733727810650888,19.40828402366864,14.792899408284024,96.21301775147928,96.80473372781066,0.0,18.224852071005916
bumps_bumps,2024-12-31,98690ef57f2dc1ca989aee56223427c5a9dae7d8,183.0,20047.0,0.0,7.103825136612022,10.92896174863388,88.52459016393442,96.72131147540983,3.278688524590164,29.508196721311474
burnash_gspread,2024-12-31,46f11e0a717fefd7197dc19c7f5f1db083f28928,16.0,3471.0,0.0,62.5,81.25,43.75,100.0,0.0,31.25
camptocamp_c2cgeoportal,2024-12-31,42632e96377a04665556aa623daf81f9760c92bd,269.0,20281.0,0.0,14.869888475836431,65.79925650557621,37.54646840148699,95.91078066914498,0.0,8.178438661710038
camptocamp_tilecloud,2024-12-31,262bc7b29a134f8ca788c1412f6fbb6677d56322,82.0,3451.0,0.0,13.414634146341465,82.92682926829268,3.6585365853658534,97.5609756097561,0.0,13.414634146341465
canonical_ubuntu-drivers-common,2024-12-31,ec21c55dfba41cdcf9985946effbd3dd7986e1ca,15.0,6014.0,0.0,0.0,0.0,100.0,93.33333333333333,0.0,40.0
carlfk_veyepar,2024-12-31,d95e6b033a28c282ff73b09463408c046c9807d1,146.0,12842.0,0.0,0.0,0.0,64.38356164383562,87.67123287671232,0.0,21.91780821917808
carltongibson_django-filter,2024-12-31,2a644e176634ec0ce99d9446d980501e9763e194,35.0,5999.0,0.0,0.0,0.0,88.57142857142857,94.28571428571428,0.0,8.571428571428571
ccnmtl_django-pagetree,2024-12-31,fbbc13c35fe2d43cbe04d2e157f5607f5b888fa8,27.0,2307.0,0.0,0.0,0.0,88.88888888888889,96.29629629629629,0.0,14.814814814814813
celery_celery,2024-12-31,f0ff79cff6a8794174a6e2e189ed1431257b6406,349.0,48334.0,0.0,7.163323782234957,24.068767908309454,79.94269340974212,93.69627507163324,0.28653295128939826,16.045845272206304
celery_kombu,2024-12-31,1a5eb30ea6e5840bf4551eaf7bedb5745c411fce,157.0,21692.0,0.0,8.280254777070063,24.203821656050955,84.07643312101911,91.0828025477707,0.6369426751592357,19.745222929936308
cellcognition_cecog,2024-12-31,bb3e1da2f12db48b67838403155e09fd9d5ab4a8,121.0,10255.0,0.0,0.0,0.0,65.28925619834712,80.99173553719008,0.0,18.181818181818183
cellprofiler_cellprofiler,2024-12-31,0c627261522171870577e9f3a198e8c6e6e3036b,703.0,96762.0,0.42674253200568996,0.1422475106685633,1.422475106685633,91.32290184921764,70.5547652916074,0.0,23.32859174964438
cellprofiler_cellprofiler-analyst,2024-12-31,8a7f924052867192b425e4b7f89137fadbbd93fa,78.0,18368.0,0.0,0.0,0.0,82.05128205128204,97.43589743589743,0.0,57.692307692307686
ceph_s3-tests,2024-12-31,7c2d810e9160e89a2b5c5e1a155254efb80a1add,19.0,14961.0,0.0,0.0,0.0,100.0,100.0,0.0,31.57894736842105
ceph_teuthology,2024-12-31,8aa35231626c6ecbac35b361f00b7fb9f4d1fa25,212.0,19511.0,0.9433962264150944,0.9433962264150944,7.547169811320755,93.86792452830188,98.11320754716981,0.0,17.92452830188679
chapmanb_bcbb,2024-12-31,eec72c3faca1e5e9e4e48dbf46d396a9045baa3b,155.0,8485.0,0.0,0.0,0.0,54.19354838709678,57.41935483870968,0.0,19.35483870967742
chazdazzle_fpdb-chaz,2024-12-31,b6ff060490106c1d4d0bab0ccee402f800fcce4a,119.0,10926.0,0.0,0.0,0.0,44.537815126050425,47.05882352941176,0.0,21.008403361344538
chirpradio_chirpradio-machine,2024-12-31,cf7a20722e1bf00d8f4ec68b0686ddf89b4910c2,91.0,3593.0,0.0,0.0,0.0,68.13186813186813,69.23076923076923,0.0,18.681318681318682
cinemagoer_cinemagoer,2024-12-31,3051a3a14bd1d0cffeca06854a2ab3602762badf,95.0,9479.0,0.0,0.0,0.0,81.05263157894737,98.94736842105263,0.0,20.0
ckan_ckan,2024-12-31,2c67ce1b7e0d59fd8c61efd3df9dd69da626ee1e,552.0,51738.0,0.36231884057971014,18.84057971014493,45.471014492753625,71.73913043478261,88.94927536231883,0.0,9.239130434782608
ckan_ckanext-harvest,2024-12-31,b901e23f0864b40b3e004c7bc9b3030425f15a71,40.0,4478.0,0.0,0.0,0.0,92.5,90.0,0.0,15.0
clalancette_oz,2024-12-31,8921d7fdab719fc7f352a77f4d57218344b7933c,31.0,5842.0,0.0,0.0,0.0,96.7741935483871,93.54838709677419,0.0,51.61290322580645
cms-dev_cms,2024-12-31,df9a5fa217553398418840f1325f4d6600e8751b,328.0,26978.0,0.0,0.0,0.0,90.54878048780488,95.1219512195122,0.0,20.426829268292682
cnvogelg_amitools,2024-12-31,8b2e846dd3d6c058215938c8e4848653190736e1,402.0,36610.0,0.0,0.0,0.4975124378109453,96.76616915422885,94.02985074626866,0.0,30.09950248756219
cobbler_cobbler,2024-12-31,13aaf53e757b1e9a50a2f04e534bf4d59cf5c3de,221.0,24162.0,0.0,35.74660633484163,87.78280542986425,28.95927601809955,97.28506787330316,0.0,13.574660633484163
cobrateam_splinter,2024-12-31,933a825edceb4ead3b438c3cc64b18f52783999f,78.0,3438.0,0.0,2.564102564102564,20.51282051282051,78.2051282051282,79.48717948717949,0.0,10.256410256410255
codespell-project_codespell,2024-12-31,d29850731b5b25ab030301c353854285b4da588b,6.0,1543.0,0.0,50.0,83.33333333333334,0.0,66.66666666666666,0.0,33.33333333333333
coleifer_huey,2024-12-31,f66ce06401390957cc0fcaff4e34a85049b17950,50.0,5291.0,0.0,0.0,0.0,76.0,84.0,0.0,10.0
coleifer_peewee,2024-12-31,2b77c677423302b30db707b7e2fa03b72c87a119,85.0,28178.0,0.0,0.0,0.0,94.11764705882352,97.6470588235294,0.0,29.411764705882355
collective_icalendar,2024-12-31,71c6952bee6bc11a3dc2d09bf3b2d69b401e4cc8,73.0,5139.0,0.0,6.8493150684931505,23.28767123287671,89.04109589041096,95.8904109589041,0.0,10.95890410958904
copier-org_copier,2024-12-31,2dc1687af389505a708f25b0bc4e37af56179e99,46.0,5289.0,8.695652173913043,19.565217391304348,89.13043478260869,0.0,97.82608695652173,0.0,4.3478260869565215
cornices_cornice,2024-12-31,cd6d2f614940c472e2363db67050e8934e8d14dc,26.0,3075.0,0.0,0.0,0.0,92.3076923076923,100.0,0.0,7.6923076923076925
couchbase_couchbase-python-client,2024-12-31,0dbe460a134838fb61e8d768f7c76ad2795435ed,238.0,40908.0,1.2605042016806722,4.621848739495799,55.04201680672269,94.53781512605042,95.37815126050421,2.5210084033613445,13.445378151260504
crossbario_autobahn-python,2024-12-31,7bc85b34e200640ab98a41cfddb38267f39bc92e,395.0,33406.0,0.0,5.3164556962025316,12.91139240506329,87.0886075949367,96.9620253164557,0.0,20.0
csingley_ofxtools,2024-12-31,57fb83816e67a476494b499997be2902155efc17,87.0,15581.0,1.1494252873563218,13.793103448275861,14.942528735632186,74.71264367816092,100.0,0.0,9.195402298850574
csng-mff_mozaik,2024-12-31,c8261569a858ebbd3b91621b2d863d8059c89f37,93.0,12169.0,0.0,0.0,0.0,89.24731182795699,89.24731182795699,0.0,26.881720430107524
cylc_cylc-flow,2024-12-31,9862356eb1f6003808bf14d43c3e5a15d7f45c3a,430.0,43424.0,0.0,29.767441860465116,52.55813953488372,83.72093023255815,91.86046511627907,0.0,25.581395348837212
cython_cython,2024-12-31,f5d3341f9aa8d549a14b7523360ed59aa8efb1f5,404.0,72382.0,1.2376237623762376,26.980198019801982,27.722772277227726,73.01980198019803,80.44554455445545,0.24752475247524752,26.48514851485149
cz-nic_pyoidc,2024-12-31,59b2965dc8f5f487ba24d148911ac2999d7bbb57,133.0,20583.0,0.0,30.82706766917293,6.015037593984962,89.47368421052632,96.99248120300751,0.0,12.781954887218044
daler_pybedtools,2024-12-31,910ef2f40740f35f18bb51b7db7cbf9d8a9d0531,38.0,5427.0,0.0,2.631578947368421,7.894736842105263,84.21052631578947,100.0,0.0,34.21052631578947
datafolklabs_cement,2024-12-31,745790520fc880c816b5623af6629949f86bf0cd,150.0,17060.0,0.0,32.0,44.666666666666664,55.333333333333336,91.33333333333333,0.0,14.000000000000002
daviddrysdale_python-phonenumbers,2024-12-31,ce993e07a236508253f15de02aa70c4489447bb6,648.0,10201.0,0.0,0.0,0.0,4.78395061728395,99.53703703703704,0.0,1.3888888888888888
devilry_devilry-django,2024-12-31,408a94153927f6e9e215b8402f739615ca03aad7,825.0,58884.0,0.0,0.0,1.575757575757576,73.45454545454545,92.36363636363636,0.0,5.575757575757575
diaoul_subliminal,2024-12-31,3d22d8d21f50d4dd249484cc7404e09cba3ec433,56.0,7433.0,1.7857142857142856,50.0,62.5,46.42857142857143,98.21428571428571,0.0,28.57142857142857
diefenbach_django-lfs,2024-12-31,db21b5b2b4afed5572670177a2b646a7e89367f3,253.0,19370.0,0.0,0.0,0.0,70.35573122529645,90.9090909090909,0.0,18.181818181818183
digitalfox_pydici,2024-12-31,b4679ad92553d3ecb1483f969d1be98532242dd2,198.0,11333.0,0.0,1.0101010101010102,0.0,43.93939393939394,99.4949494949495,0.0,13.131313131313133
digitalgreenorg_dg,2024-12-31,fc4756d76ce7553192ff82df6f4dba5acadaa1db,752.0,26487.0,0.0,0.0,0.0,50.13297872340425,78.05851063829788,0.0,9.441489361702128
dimagi_commcare-hq,2024-12-31,b4d59b459cfd469c3e730dfb3a61aee9554afe03,4375.0,295196.0,0.2742857142857143,1.1657142857142857,2.422857142857143,71.10857142857144,95.65714285714286,0.0,7.908571428571428
dimagi_logistics,2024-12-31,b84d54bda3ec84f1f36d97bf4af38693408f8ced,303.0,15719.0,0.0,0.0,0.0,79.53795379537954,91.74917491749174,0.0,8.25082508250825
dipy_dipy,2024-12-31,927246108f6aa67283003a46b63f2deeced9becb,416.0,52019.0,0.0,0.4807692307692308,0.0,80.76923076923077,99.03846153846155,0.0,29.807692307692307
diracgrid_dirac,2024-12-31,d4c3de2d894926ebce035be3e103bcc8c9180e02,1178.0,143361.0,3.0560271646859083,0.6791171477079796,6.791171477079796,92.52971137521222,96.68930390492359,0.0,25.806451612903224
django-cms_django-cms,2024-12-31,fe54de4174d7049e844edb0c285fb1ebff81965f,379.0,32811.0,0.5277044854881267,1.0554089709762533,3.430079155672823,61.477572559366756,84.69656992084433,0.0,14.24802110817942
django-cms_django-filer,2024-12-31,f8209a6507680661bd134cd30878993b79ef3344,105.0,5943.0,0.0,0.9523809523809524,3.8095238095238098,60.952380952380956,98.09523809523809,0.0,10.476190476190476
django-commons_django-debug-toolbar,2024-12-31,f3f604977053d00f052a4b5a67e6a068f1ca2392,79.0,4576.0,2.5316455696202533,3.79746835443038,2.5316455696202533,87.34177215189874,94.9367088607595,0.0,12.658227848101266
django-compressor_django-compressor,2024-12-31,67b4273732c9cbb936d2b192ddf0f8bed403afaa,47.0,3215.0,0.0,0.0,0.0,82.97872340425532,95.74468085106383,0.0,23.404255319148938
django-crispy-forms_django-crispy-forms,2024-12-31,e7cc89a1a298515b3e934312f8aa1b21617c63a8,24.0,2280.0,0.0,4.166666666666666,0.0,79.16666666666666,91.66666666666666,0.0,25.0
django-extensions_django-extensions,2024-12-31,0ee2e71dd552366bd3761736d569a1efa127a9cb,199.0,11453.0,0.0,7.035175879396985,1.507537688442211,85.92964824120602,86.4321608040201,4.522613065326634,9.045226130653267
django-guardian_django-guardian,2024-12-31,c73a19c4be46d105b974c7d799b063bb5e6089a7,79.0,4765.0,0.0,0.0,0.0,59.49367088607595,89.87341772151899,0.0,8.860759493670885
django-haystack_django-haystack,2024-12-31,10c15ec12c6d71a815b8843c34ab9dd4d01fddb3,110.0,14360.0,0.0,0.0,0.0,87.27272727272727,95.45454545454545,0.0,12.727272727272727
django-helpdesk_django-helpdesk,2024-12-31,e0a04b50405a649592f9bcc23f0386b9f3512ec4,112.0,7381.0,0.8928571428571428,5.357142857142857,5.357142857142857,60.71428571428571,92.85714285714286,0.0,12.5
django-money_django-money,2024-12-31,d35802c7a08ed47e74ec8ec0244a2eb51fa1dfaf,48.0,2486.0,0.0,6.25,0.0,83.33333333333334,93.75,0.0,8.333333333333332
django-mptt_django-mptt,2024-12-31,9857df67c5de42e2f2e3aba01f7e9f6494a8817c,22.0,3252.0,0.0,0.0,4.545454545454546,59.09090909090909,86.36363636363636,0.0,18.181818181818183
django-oscar_django-oscar,2024-12-31,f97893c83122c64170f1e2cf3864d8ce3e4b75da,681.0,32013.0,0.14684287812041116,0.0,0.5873715124816447,62.55506607929515,94.12628487518356,0.0,6.167400881057269
django-tastypie_django-tastypie,2024-12-31,e01abaa4e956068c12ce1a549fa73bf491d70feb,145.0,12338.0,0.0,0.0,0.0,45.51724137931035,87.58620689655172,0.0,2.0689655172413794
djangopackages_djangopackages,2024-12-31,e3b1ab966fd677dcaccc0a10b9a8c23690aadf32,202.0,6350.0,3.9603960396039604,1.4851485148514851,7.920792079207921,62.37623762376238,90.5940594059406,0.0,5.445544554455446
djblets_djblets,2024-12-31,034c4c5ad8913dbf9799550a4f28da3e6a035bc3,390.0,31354.0,0.0,19.48717948717949,30.512820512820515,64.61538461538461,94.1025641025641,0.0,8.717948717948717
dmwm_wmcore,2024-12-31,46c3009dfc37a88d62ff18860e9821bba6b711ba,1692.0,124991.0,0.0,0.1182033096926714,0.0591016548463357,75.82742316784869,85.28368794326241,0.0,19.2080378250591
domino14_webolith,2024-12-31,1ee75fd93e8c4e1b22893826e3cb3523e2cf63a2,128.0,5117.0,0.0,0.0,7.8125,48.4375,89.0625,0.0,10.15625
earwig_earwigbot,2024-12-31,dfae10cf12e46d6ad3c33312fdc7bd4649be47c3,53.0,6213.0,1.8867924528301887,26.41509433962264,37.735849056603776,75.47169811320755,98.11320754716981,0.0,37.735849056603776
eblot_pyftdi,2024-12-31,426e1abd88e25e4aa1c0520b171cae1713b9180e,37.0,10070.0,0.0,8.108108108108109,54.054054054054056,97.2972972972973,100.0,0.0,62.16216216216216
edgewall_genshi,2024-12-31,c4afb785f2860e07efa10717d08842fc47e38847,49.0,11462.0,0.0,0.0,0.0,95.91836734693877,100.0,0.0,34.69387755102041
edgewall_trac,2024-12-31,abf33d3160d9007b90dccfe4776e7cda639899db,284.0,62007.0,0.0,0.0,0.0,98.23943661971832,96.83098591549296,0.0,32.04225352112676
emcconville_wand,2024-12-31,d92783ae7d99d661cd42b7225c09af21af929a07,34.0,11759.0,0.0,0.0,0.0,79.41176470588235,100.0,0.0,11.76470588235294
encode_django-rest-framework,2024-12-31,a8595a8eae2649b763f4882da643c1dc9183d6f1,140.0,21964.0,0.0,0.0,1.4285714285714286,90.71428571428571,97.14285714285714,0.0,15.714285714285714
enthought_apptools,2024-12-31,510b0e0a4e567d70a8f63f27c29810f4399860ef,140.0,9240.0,0.0,0.0,0.0,77.14285714285715,81.42857142857143,0.0,7.857142857142857
enthought_envisage,2024-12-31,0f1b6472d08d91625996017fa46019a41ec899f2,197.0,7606.0,0.0,0.0,0.5076142131979695,74.11167512690355,82.74111675126903,0.0,2.030456852791878
enthought_mayavi,2024-12-31,40c60101613b524533fa4a8831a48b46e6aea8b3,542.0,42656.0,0.0,0.0,0.0,76.75276752767527,95.38745387453874,0.0,16.051660516605164
enthought_traits,2024-12-31,10954ebdccac9a1131e6cb978f75c00c3323fb63,317.0,27440.0,0.0,0.31545741324921134,1.8927444794952681,78.86435331230284,91.7981072555205,0.0,17.034700315457414
enthought_traitsui,2024-12-31,fb951ef2a6635d7b0d806bee7ec25eb2632d0f27,573.0,45109.0,0.0,0.0,0.17452006980802792,80.10471204188482,94.24083769633508,0.0,15.881326352530541
erdc_proteus,2024-12-31,b85bb80edb957dcb60e05afceac9336936fdd2c0,687.0,120326.0,0.0,0.0,0.0,63.31877729257642,98.83551673944687,0.0,24.308588064046578
esitarski_crossmgr,2024-12-31,056366e1f7bf614d48b0e3142e6adb61131b5b26,392.0,70343.0,1.7857142857142856,0.0,0.0,90.05102040816327,95.40816326530613,0.0,49.744897959183675
eskerda_pybikes,2024-12-31,d49542629c8b993e8f784abcd0fccfc876ab66f3,90.0,2983.0,0.0,0.0,0.0,91.11111111111111,97.77777777777777,0.0,7.777777777777778
etetoolkit_ete,2024-12-31,f8814f850fd6546005b1e174e00bac54215a2f7b,217.0,28304.0,0.0,0.4608294930875576,0.4608294930875576,76.95852534562212,87.55760368663594,0.0,28.57142857142857
etianen_django-reversion,2024-12-31,7c23ff4bae5c495a94cf1bfd3e5ad395f223caf2,30.0,1862.0,0.0,0.0,0.0,60.0,93.33333333333333,0.0,10.0
fabric_fabric,2024-12-31,988dd0fd05db47331cb43d0ea9787908ef33219c,46.0,3719.0,0.0,0.0,0.0,84.78260869565217,78.26086956521739,0.0,0.0
factoryboy_factory_boy,2024-12-31,4209372ec6db85a8deeea4ad620801ce670a71c7,51.0,6599.0,0.0,11.76470588235294,3.9215686274509802,76.47058823529412,94.11764705882352,0.0,5.88235294117647
fail2ban_fail2ban,2024-12-31,4151eeccfe179e94e23add7ce503bd26ce864e2b,74.0,18202.0,0.0,0.0,0.0,93.24324324324324,100.0,0.0,64.86486486486487
fedora-infra_bodhi,2024-12-31,2b0a23488666c8e44b0066119faf05bb26e46a77,222.0,32314.0,0.0,3.153153153153153,24.774774774774773,86.48648648648648,98.1981981981982,1.8018018018018018,7.657657657657657
feincms_feincms,2024-12-31,f310bec2009060c4b3be2a2f0dee466cb7e1ce81,95.0,5014.0,0.0,1.0526315789473684,1.0526315789473684,74.73684210526315,76.84210526315789,0.0,11.578947368421053
feisuzhu_thbattle,2024-12-31,c20db1d1d859461e22a9055c75120448c8636718,360.0,34124.0,4.444444444444445,20.0,28.888888888888886,68.05555555555556,91.94444444444444,0.0,23.333333333333332
fhcrc_taxtastic,2024-12-31,0d37ae323da68b888f157299b311e6b255b76c0c,47.0,3998.0,0.0,0.0,0.0,91.48936170212765,97.87234042553192,0.0,17.02127659574468
flexget_flexget,2024-12-31,a0715908ac6fa475d7fb52561cf48f85420eb4f6,584.0,53213.0,0.0,6.8493150684931505,14.554794520547945,93.66438356164383,99.48630136986301,0.0,18.15068493150685
frappe_erpnext,2024-12-31,72256565bb2caf02f8e87b3ee0fbd0ee233c4f40,1512.0,116422.0,3.968253968253968,33.86243386243386,8.994708994708994,73.74338624338624,62.367724867724874,0.0,19.576719576719576
frappe_frappe,2024-12-31,1d31663f4b4b5e6a6283998484d926dfa762bcc4,1007.0,74381.0,9.533267130089374,32.27408142999007,28.003972194637537,78.5501489572989,71.99602780536246,0.0,12.413108242303874
freely-given-org_bibleorgsys,2024-12-31,af8ce255d036ec086749b3b2fb6351db9391d1f0,129.0,81439.0,0.7751937984496124,18.6046511627907,92.24806201550388,84.49612403100775,99.2248062015504,0.0,79.06976744186046
frescobaldi_frescobaldi,2024-12-31,1a2c3a66e95f7867ce683aa79de054a26822191b,295.0,31289.0,0.3389830508474576,0.3389830508474576,0.0,93.55932203389831,97.96610169491525,0.0,20.33898305084746
gaphor_gaphas,2024-12-31,ed58ba9f7699604ae80a54dcc7d051fd3964593d,73.0,5420.0,4.10958904109589,35.61643835616438,46.57534246575342,78.08219178082192,93.15068493150685,0.0,13.698630136986301
gaphor_gaphor,2024-12-31,7615ad0430fa68fe33a49a063447f9b602936581,545.0,35435.0,13.577981651376147,28.990825688073397,36.51376146788991,89.54128440366974,89.54128440366974,0.0,5.321100917431193
geekcomputers_python,2024-12-31,3c4beaf9f62c9bd3f4e74325b02d635b536dde95,642.0,24709.0,0.0,0.6230529595015576,4.984423676012461,65.57632398753894,95.6386292834891,0.0,24.45482866043614
gem_oq-engine,2024-12-31,228f5053e6150fc85f54d2a84496aa9ddf5624ea,894.0,93571.0,0.0,1.1185682326621924,23.37807606263982,92.39373601789708,97.98657718120806,0.0,26.39821029082774
geopython_pycsw,2024-12-31,392e02a72e181022aa8e39e09488850a70e48e58,57.0,10491.0,0.0,0.0,10.526315789473683,87.71929824561403,96.49122807017544,0.0,19.298245614035086
getlogbook_logbook,2024-12-31,2b4fe2aeb942c734886e236afba52accd06b6d51,66.0,5362.0,10.606060606060606,0.0,0.0,96.96969696969697,95.45454545454545,0.0,12.121212121212121
getpelican_pelican,2024-12-31,ac28ddb9bf717085295c2c48393261d691b73fa1,46.0,7239.0,0.0,6.521739130434782,21.73913043478261,86.95652173913044,86.95652173913044,0.0,23.91304347826087
getsentry_sentry,2024-12-31,ad2b920ec9e704bd1ea1905a1a43644a1569198f,5380.0,400740.0,1.7100371747211895,25.33457249070632,52.23048327137546,51.59851301115241,94.86988847583643,0.0,6.654275092936802
ghoseb_planet.clojure,2024-12-31,034943227f28da0c941d813c06a9df2d4757a7cd,96.0,5248.0,0.0,0.0,0.0,55.208333333333336,61.458333333333336,0.0,13.541666666666666
git-cola_git-cola,2024-12-31,80d94ad4ed6779c40a899ef3eeb36e08d69c31ab,183.0,29798.0,0.0,0.546448087431694,0.546448087431694,67.75956284153006,74.31693989071039,0.0,18.579234972677597
gitpython-developers_gitpython,2024-12-31,49ca9099dc75d0d686ec6737da36637cbee1c000,77.0,13951.0,0.0,37.66233766233766,53.246753246753244,49.35064935064935,94.8051948051948,5.194805194805195,37.66233766233766
glideinwms_glideinwms,2024-12-31,c9711ed448bd8cfcab668c21a26a0ec07e592746,166.0,28531.0,0.0,0.0,1.2048192771084338,95.18072289156626,96.3855421686747,0.0,37.95180722891566
glue-viz_glue,2024-12-31,14fcc3ecf52f28285c2a74fb30e664b5bd817368,222.0,27156.0,0.0,0.0,0.0,93.69369369369369,94.5945945945946,0.0,19.36936936936937
