Merge finished: results.csv
Writed lines: 46349
Lost lines: 322
['swirhen_anime-podcast', '2019-05-17', 'b51d3abceceb9894787816c922f71ea04c970c25', '0', '0']
['swirhen_anime-podcast', '2019-06-16', '14abb3145ac95690f88db6c1b995be547f4c6b27', '0', '0']
['swirhen_anime-podcast', '2019-07-16', '4fc5e18677987282037b3d865910c5f2febc6aca', '0', '0']
['swirhen_anime-podcast', '2019-08-15', '2d0ead7f602b361717e3de5231fadd3d0ca4d1fe', '0', '0']
['swirhen_anime-podcast', '2019-09-14', 'd9d9fa5fdff24f86f1d6695af2af418c1b315b85', '0', '0']
['swirhen_anime-podcast', '2019-10-14', '2665ec38711ce0f838c2c4e1a980c40e156d01a8', '0', '0']
['swirhen_anime-podcast', '2019-11-13', '9b257f18ece6bfba2660f6a8efbcd860df5a5665', '0', '0']
['swirhen_anime-podcast', '2019-12-13', '2405f57e1a9a68b9eca73424c717902a61b622de', '0', '0']
['swirhen_anime-podcast', '2020-01-12', 'ac11b624062bb5e27186148166b7ef22bee7bad5', '0', '0']
['swirhen_anime-podcast', '2020-02-11', 'd94d36a03799ffb6b4a804165a85c730c4b737f5', '0', '0']
['swirhen_anime-podcast', '2020-03-12', '0b10a9783c79fff2312028e004ea1f7aae206fa0', '0', '0']
['swirhen_anime-podcast', '2020-04-11', 'cba066354990f48efa0bdbc26909db11b3fd8f19', '0', '0']
['swirhen_anime-podcast', '2020-05-11', '9a18ee13020bc1d941d29c56603deda5b80db1b7', '0', '0']
['swirhen_anime-podcast', '2020-06-10', 'd1106154ab445304b93468ead9cae5222a7835ba', '0', '0']
['swirhen_anime-podcast', '2020-07-11', '095b75b6c300f6e250cb7f0b87b267e137a3a8fc', '0', '0']
['swirhen_anime-podcast', '2020-08-10', '33555642b0ddbd3322c5a83cd10d404342197843', '0', '0']
['swirhen_anime-podcast', '2020-09-09', 'adee7c21b5a32da6a76c67a659381a5fd0c28025', '0', '0']
['swirhen_anime-podcast', '2020-10-09', '6a93f83791c808f62cba7331bf8311ff26ba3e0e', '0', '0']
['swirhen_anime-podcast', '2020-11-08', 'f92d17fd055975d9cc8c3bf27ba779c5a209087d', '0', '0']
['astropy_specutils', '2017-03-24', '9d56a31fa35242c806b154c0edd40efc648af740', '0', '0']
['hyphanet_pyfreenet', '2012-02-25', '9a3a96bbd908f3ab3d7e63b3d8fae3fe10b5f0cc', '18', '18']
['hyphanet_pyfreenet', '2013-01-26', 'b7fd72608bec64734cfedc873cd1eb3d1f2c4db5', '18', '18']
['hyphanet_pyfreenet', '2013-05-06', '0d6cbdde311f5eac11124a6401bdf5e2bec0e861', '20', '20']
['hyphanet_pyfreenet', '2013-06-20', 'd03a0290bcac5bd3e0af3d44017d09a877445a02', '20', '20']
['hyphanet_pyfreenet', '2013-08-01', '144340e6ab0f494d230596aec2ce27b3e1c019dc', '20', '20']
['hyphanet_pyfreenet', '2013-11-17', 'd76f408fb3a3de66392c92eb245a90c4b342a561', '20', '20']
['hyphanet_pyfreenet', '2014-07-29', '2ee7dc77341ce31b8b0fb140266943bc58ac6c97', '21', '21']
['hyphanet_pyfreenet', '2014-09-01', 'fa4204818215127eb2b500f494afbbdbdc976e48', '21', '21']
['hyphanet_pyfreenet', '2014-10-09', '931370f345ba76ee0820688d52fede60774a3c3e', '21', '21']
['hyphanet_pyfreenet', '2014-11-23', '6e03e624d630a18ad99de764b95c7240cd45e619', '21', '21']
['hyphanet_pyfreenet', '2015-01-06', 'b5d2a88c1dc3030172a92eea4a5805ca6713aab8', '21', '21']
['nickjcroucher_gubbins', '2012-01-23', '0c650c56da3f690ba4c5c1ca47dc7e3dd3d286cd', '0', '0']
['nickjcroucher_gubbins', '2012-02-23', 'c21d1a754cf16ea29cb8ba9a4754ad73106ddafe', '0', '0']
['nickjcroucher_gubbins', '2012-04-05', '56a1efddf906cfff93037b8513c360512c0e53a1', '1', '1']
['nickjcroucher_gubbins', '2012-05-08', '267565dccbc9809fcceff1bf6cf9a2de95c6e4ba', '1', '1']
['nickjcroucher_gubbins', '2012-06-11', 'f4261a9588e660878fcbed73ccec0d775c4b5f36', '1', '1']
['nickjcroucher_gubbins', '2012-08-07', '1ebe389e4f76899d79d15e1af212dc084d9098b8', '1', '1']
['nickjcroucher_gubbins', '2012-09-14', '12aeec223319a6c04b7e5d0d2cb42f1bcc6d4f6d', '2', '2']
['nickjcroucher_gubbins', '2012-11-01', 'a712b097af0eaf5888d7154d004b27fcbad1e229', '2', '2']
['nickjcroucher_gubbins', '2013-01-21', '3994df949012d0c45d4c411f593f42b24f615ed8', '2', '2']
['nickjcroucher_gubbins', '2013-02-26', '12ead7b35dfd108aa8434c802bc03b4f7c165339', '2', '2']
['nickjcroucher_gubbins', '2013-05-02', '276e12d13b33d1ce9620d995ffea26917645122d', '2', '2']
['nickjcroucher_gubbins', '2013-06-03', '3862ec1d6c1e9c0fe93d059b05085e36f76dcb86', '2', '2']
['nickjcroucher_gubbins', '2013-07-03', 'b3ff533dca528a2301f29209ed79fa3adcbf1aba', '2', '2']
['astropy_astropy', '2013-06-05', '03ac1a4cb269188ffef9adc7a7d896c91946731a', '0', '0']
['barrucadu_dotfiles', '2012-04-18', 'ab8930db0fe9d06bcc8a701de645b4893bbda969', '0', '0']
['barrucadu_dotfiles', '2012-05-26', '1633726a7f80bc665982e58898f8ff84e326c2f8', '0', '0']
['barrucadu_dotfiles', '2012-07-16', '31ec6d2d1277ca3c62b94287c6a29fb4a99ed3aa', '0', '0']
['barrucadu_dotfiles', '2012-09-03', '340af03d24513b40d6b764f544d9277c79457bdd', '0', '0']
['barrucadu_dotfiles', '2012-10-05', 'a539eb41b44cfcb32ca35772310438429d126a0c', '0', '0']
['barrucadu_dotfiles', '2012-11-05', '9a50a8c8bb08e87cfb207f77a663cf82b55dad0d', '0', '0']
['barrucadu_dotfiles', '2013-01-29', 'e6903feca2f7a9d97b439af08c7756d05867af2e', '0', '0']
['barrucadu_dotfiles', '2013-03-02', 'f64956f6ae0ffe73c55b2fa35ccf12359ded7d9a', '0', '0']
['barrucadu_dotfiles', '2013-04-09', '736908919e5bb8c95e432d11adfa42747cd69361', '0', '0']
['barrucadu_dotfiles', '2013-05-29', '5881db23dc5e23494eaa0e4eee8bd575db526301', '0', '0']
['barrucadu_dotfiles', '2013-07-20', '8b0a07e8dfa4283ba574d8bde0b33657d128981a', '0', '0']
['barrucadu_dotfiles', '2013-10-30', 'd6479de5bde8a45c255ed07f62a4ea824bad2acc', '0', '0']
['barrucadu_dotfiles', '2013-12-17', '9068cc47fe9c79a7bb97b896979fe3c8001e82f0', '0', '0']
['barrucadu_dotfiles', '2014-01-30', '00114a74e489047bdec2aa507a2b0679e5b16bc7', '0', '0']
['barrucadu_dotfiles', '2014-03-17', '01a54eea1dda082995541dfdd243a5e9a0dc07b8', '0', '0']
['barrucadu_dotfiles', '2014-04-22', 'fb446dc059bba088bcfbcd929c53b1a604a28600', '0', '0']
['barrucadu_dotfiles', '2014-06-02', 'b94e4bcbfc5cd309c27b2cf50fe4b8e30c09e193', '0', '0']
['barrucadu_dotfiles', '2014-07-02', '4a13a056116aa8648d15de068a79dc3d57904b06', '0', '0']
['barrucadu_dotfiles', '2014-12-23', '390d2bfe52c868379c9e011585a8c78eb46c1224', '0', '0']
['barrucadu_dotfiles', '2015-03-26', '02f75a63c6ed8127e61e97174185af28b8b33e55', '0', '0']
['barrucadu_dotfiles', '2015-08-02', 'f6220792255b408258e5425f44628b9c054ff4ac', '0', '0']
['barrucadu_dotfiles', '2015-09-19', '61e1d6c0c534c3cbbdcad9bb56ce2e359240054b', '0', '0']
['barrucadu_dotfiles', '2015-11-29', '19f0580e9ef4f9b5969d27df5773c7b40e5426af', '0', '0']
['barrucadu_dotfiles', '2016-01-30', 'b71c46dfd5e102c72768748e0d9c68c8b82dcbe2', '0', '0']
['barrucadu_dotfiles', '2016-03-04', '65e04bd43feed34f790bbc612e79d0deeec9b6c4', '0', '0']
['barrucadu_dotfiles', '2016-05-10', '50d398fd4d29d0ce2082c2db93c9474a9e5f7366', '0', '0']
['barrucadu_dotfiles', '2016-06-12', '8eb73e53db41363ab2130ad99e95767eb2c499b8', '0', '0']
['barrucadu_dotfiles', '2016-07-19', '9c1118d08402197e82b30d5ee0aee34a69550c96', '0', '0']
['barrucadu_dotfiles', '2016-09-18', 'fe19d4aab936e98f9445f116e80199097580975d', '0', '0']
['barrucadu_dotfiles', '2016-10-21', '7967db96c575ffebd973d5b08cc556f83c4236a6', '0', '0']
['barrucadu_dotfiles', '2016-11-23', '449ec2faed2f5571cd2d7b0c746259168fe9812e', '0', '0']
['barrucadu_dotfiles', '2016-12-28', '5aad41a2d189077e8f42207be1b752e00015848b', '0', '0']
['barrucadu_dotfiles', '2017-02-01', 'c70d7e2d207976320462a336e233a84c00672c44', '0', '0']
['barrucadu_dotfiles', '2017-03-12', '78d673c938e1ab7192b3e262c13a9b88afb5f52c', '0', '0']
['barrucadu_dotfiles', '2017-04-11', '351aace632a59a86df634a7a1998589de6cdbfc0', '0', '0']
['barrucadu_dotfiles', '2017-05-13', 'cf3b72651a77a66f3bbe9384e1e01c3768c148f2', '0', '0']
['barrucadu_dotfiles', '2017-07-09', 'ba69a9bab09f92e23b23eb3131e4e3de5631c10d', '0', '0']
['barrucadu_dotfiles', '2017-08-19', '29fb6fd68da4b627168d3b85e497d86c9ff47d13', '0', '0']
['barrucadu_dotfiles', '2017-09-27', '3be53f0e1acf6e6035744dd347d872260a76f1fa', '0', '0']
['barrucadu_dotfiles', '2017-11-19', '8b4feed5bb1aac17a95ac0da07b9387ffa72c935', '0', '0']
['barrucadu_dotfiles', '2018-02-20', 'c5e1131caf46af7720677468291cf8a8103dd074', '0', '0']
['barrucadu_dotfiles', '2018-05-10', 'd1ab7d65d24897a6e96d4988c3d5af84c21336d1', '0', '0']
['barrucadu_dotfiles', '2018-06-21', 'd8585d82192f5d4214c541e9775e71f04ae1c637', '0', '0']
['barrucadu_dotfiles', '2018-07-24', 'cde5764852ba946b10244e15d20e5727fc3dddec', '0', '0']
['barrucadu_dotfiles', '2018-08-23', 'ef5472195e25171860ce39c36d289285384bdef7', '0', '0']
['barrucadu_dotfiles', '2018-09-23', 'bc4adac781921048abf638f57f1c73db8057ee5c', '0', '0']
['barrucadu_dotfiles', '2018-10-24', '4ccdd5bd060539bd8762ff3d20f9a39cd85fa141', '0', '0']
['barrucadu_dotfiles', '2018-11-25', '77a2a26851ae4ed7611133a929b6918d1dac7f73', '0', '0']
['barrucadu_dotfiles', '2019-01-05', 'f1702f0c9a5aad5bc10ad41f797b20da85848cfe', '0', '0']
['barrucadu_dotfiles', '2019-02-11', '5bfb896e6aa5210b9c92af129b80cb4120af6838', '0', '0']
['barrucadu_dotfiles', '2019-03-22', 'ca04b9b5d38e6c8c39c1bb346d1ac5d0c5f85e6f', '0', '0']
['barrucadu_dotfiles', '2019-04-23', '1ae33e27225266efe91080a7ececbc47e4063a54', '0', '0']
['barrucadu_dotfiles', '2019-06-26', '9aa0192bd24b1b8c9fa6f5923e03a11210d8c234', '0', '0']
['barrucadu_dotfiles', '2019-07-26', '4faa810d5418122bbc19cfe6af9dfec2b4b2e6dc', '0', '0']
['barrucadu_dotfiles', '2019-09-13', '169451b58c6176ff81209e8affdebaac7b735263', '0', '0']
['barrucadu_dotfiles', '2019-10-30', '9451dfaf5fcc69c2243d3cabe64eae89f4387230', '0', '0']
['barrucadu_dotfiles', '2019-12-18', '512cd16198384210c6553d33a83d66062046179b', '0', '0']
['barrucadu_dotfiles', '2020-02-02', 'c0e93cd20386be92a90114ba09d213bc59842bbf', '0', '0']
['barrucadu_dotfiles', '2020-03-19', 'f291b988b0617120f47055134356b1be409557d7', '0', '0']
['barrucadu_dotfiles', '2020-04-22', 'cdfbc7631bcb76587e1dcf86df4251aea1a9bbcb', '0', '0']
['barrucadu_dotfiles', '2020-05-23', '92e36f7008f3a4518d6ea14c9e903157e47af91e', '0', '0']
['barrucadu_dotfiles', '2020-07-28', 'a2cd14a524f0ada5a5b7e8e398dc8127dcd2ef56', '0', '0']
['barrucadu_dotfiles', '2020-11-03', 'd437e13c4b1cb66fd77b9428c9f66b50c0f80f27', '0', '0']
['barrucadu_dotfiles', '2021-01-12', '7634298e938769034571455bbc1786d5350dcefe', '0', '0']
['barrucadu_dotfiles', '2021-02-23', 'a1d12faf3aa25e5671e16de31fd9c598ecc453d2', '0', '0']
['barrucadu_dotfiles', '2021-04-02', '6494ac89496e76df5a4de2b9dca76348dc1d5c90', '0', '0']
['barrucadu_dotfiles', '2021-08-02', 'ac8f7f9fc0e36ffc6dc9216669031ef65ce26f22', '0', '0']
['barrucadu_dotfiles', '2021-09-16', '6d12fa12d352a1d3be86b477aa4228a8ed8141c7', '0', '0']
