project,date,commit_hash,files,statements,async_list_comprehensions_files_percentage,async_set_comprehensions_files_percentage,async_dict_comprehensions_files_percentage,async_generator_expressions_files_percentage,matrix_multiplication_files_percentage,async_def_files_percentage,await_expressions_files_percentage,async_for_files_percentage,async_with_files_percentage,fstring_files_percentage,except_star_files_percentage,pattern_match_files_percentage,pattern_as_files_percentage,pattern_or_files_percentage,pattern_sequence_files_percentage,pattern_mapping_files_percentage,pattern_class_files_percentage,pattern_value_files_percentage,pattern_singleton_files_percentage,pattern_star_files_percentage,assign_unpack_files_percentage,list_unpack_files_percentage,tuple_unpack_files_percentage,set_unpack_files_percentage,dict_unpack_files_percentage,call_kwargs_unpack_files_percentage,call_args_unpack_files_percentage,nonlocal_files_percentage,function_args_annotation_files_percentage,function_return_annotation_files_percentage,kw_defaults_files_percentage,kw_args_files_percentage,type_vars_bounds_files_percentage,type_vars_constraints_files_percentage,type_param_spec_files_percentage,type_var_tuple_files_percentage,yield_from_files_percentage,assignment_expression_files_percentage,suppressing_exception_context_files_percentage,variable_annotation_files_percentage
aplpy_aplpy,2024-12-31,61fced33ab0324f3349a8d292658d4b65e7693be,43.0,3258.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
arelle_arelle,2024-12-31,c423e21242d78366179cd7d49d216144d6f28ef5,407.0,78608.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.884520884520885,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.457002457002457,0.7371007371007371,0.0,0.0,0.0,0.0,0.0,32.186732186732186,34.3980343980344,0.2457002457002457,0.2457002457002457,0.0,0.0,0.0,0.0,0.4914004914004914,2.9484029484029484,0.0,24.57002457002457
aspp_pelita,2024-12-31,d90818ef567b6ecc52c0fb4bf4ade4d090dcf110,69.0,7305.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.33333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.3478260869565215,0.0,0.0,1.4492753623188406,0.0,1.4492753623188406,0.0,7.246376811594203,5.797101449275362,11.594202898550725,11.594202898550725,0.0,0.0,0.0,0.0,0.0,2.898550724637681,4.3478260869565215,1.4492753623188406
astropy_astropy,2024-12-31,19fd077df3561a8fcd90f432b409de20ad6f902d,820.0,165583.0,0.0,0.0,0.0,0.0,2.5609756097560976,0.0,0.0,0.0,0.0,47.3170731707317,0.0,0.3658536585365854,0.3658536585365854,0.24390243902439024,0.3658536585365854,0.0,0.0,0.24390243902439024,0.0,0.24390243902439024,0.6097560975609756,0.6097560975609756,1.4634146341463417,0.0,1.097560975609756,0.6097560975609756,1.2195121951219512,0.12195121951219512,10.731707317073171,10.609756097560975,10.731707317073171,10.731707317073171,0.0,0.0,0.0,0.0,1.5853658536585367,4.024390243902439,2.073170731707317,7.560975609756097
astropy_photutils,2024-12-31,f7d8a3e8a51a365f3c942bdf0f4ed09dae342200,158.0,20992.0,0.0,0.0,0.0,0.0,0.6329113924050633,0.0,0.0,0.0,0.0,28.48101265822785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5316455696202533,0.6329113924050633,0.0,0.0,0.0,0.0,0.0,0.6329113924050633,0.6329113924050633,20.253164556962027,20.253164556962027,0.0,0.0,0.0,0.0,0.6329113924050633,0.6329113924050633,0.0,0.6329113924050633
astropy_specutils,2024-12-31,248f86e8e58502af256df9874d8bb3455240e307,89.0,9987.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.34831460674157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.247191011235955,0.0,5.617977528089887,5.617977528089887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
baliga-lab_cmonkey2,2024-12-31,aeabf13ae133cb72d8fe0861b8cac0afcf1beb55,79.0,8283.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
batiste_django-page-cms,2024-12-31,f19e42e2bda51581a1aa8a46377efa17524619c8,71.0,4482.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
beaker-project_beaker,2024-12-31,11cf7b7b0b3d8c7da90516ce2e74be509b1c2d00,469.0,45488.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
becksteinlab_gromacswrapper,2024-12-31,ab886374d192987973d37fc950bfe341b6ae8633,48.0,5516.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.166666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
beetbox_beets,2024-12-31,af41eef77604fb071bcf998e5ff35a99c89e71cf,179.0,30900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.66480446927375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5586592178770949,0.0,0.0,1.1173184357541899,0.0,0.0,0.0,14.52513966480447,12.849162011173185,0.0,0.0,0.0,0.0,0.0,0.0,3.35195530726257,2.2346368715083798,0.0,11.1731843575419
behave_behave,2024-12-31,8aa63aac16d2992df4e3eb6895d84017b888319d,213.0,20267.0,0.0,0.0,0.0,0.0,0.0,1.4084507042253522,1.4084507042253522,0.0,0.0,1.4084507042253522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4694835680751174,2.8169014084507045,1.4084507042253522,0.0,0.0,0.0,0.0,0.0,0.0,1.4084507042253522,0.0,0.0,0.0
benadida_helios-server,2024-12-31,39c8902472df206ad1f075ce6255a5d4382009e2,79.0,6629.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.79746835443038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
benoitc_gunicorn,2024-12-31,bacbf8aa5152b94e44aa5d2a94aeaf0318a85248,188.0,7497.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5319148936170213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5319148936170213,0.0
bikalims_bika.lims,2024-12-31,e03e46fc4818ebf1405b2c982dd69b782835471a,493.0,40543.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
biopython_biopython,2024-12-31,0f9f60b43db40efa247b2781812890e00c18b039,534.0,190487.0,0.0,0.0,0.0,0.0,0.18726591760299627,0.0,0.0,0.0,0.0,47.00374531835206,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18726591760299627,0.0,0.18726591760299627,0.0,0.37453183520599254,0.0,0.0,0.0,5.992509363295881,6.5543071161048685,0.5617977528089888,0.5617977528089888,0.0,0.0,0.0,0.0,4.49438202247191,0.0,25.842696629213485,4.307116104868914
bottlepy_bottle,2024-12-31,a8dfef301dec35f13e7578306002c40796651629,29.0,5949.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
braintree_braintree_python,2024-12-31,6aa90054128542b22d7b449b76fea52c4405c128,281.0,15948.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3558718861209964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
breathe-doc_breathe,2024-12-31,ea348fea641dd03bea518318873b320767409ef9,32.0,9868.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.125,0.0,0.0,0.0,0.0,0.0,0.0,46.875,46.875,3.125,3.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.125
bruvellu_cifonauta,2024-12-31,cb885a1ddccceb58361a015b99b12e7b5e8804b1,323.0,7701.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5015479876160995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.30959752321981426,0.0,0.0,0.0,0.30959752321981426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
buildbot_buildbot,2024-12-31,ff8f023a57ddb48d1d2eef915dca1462e68ee647,845.0,102423.0,0.0,0.0,0.0,0.0,0.0,5.562130177514793,5.562130177514793,0.4733727810650888,0.35502958579881655,45.0887573964497,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.390532544378698,1.301775147928994,0.0,1.301775147928994,0.1183431952662722,0.0,0.1183431952662722,12.89940828402367,9.822485207100591,0.8284023668639053,0.8284023668639053,0.0,0.0,0.0,0.0,1.0650887573964496,0.4733727810650888,0.0,19.40828402366864
bumps_bumps,2024-12-31,98690ef57f2dc1ca989aee56223427c5a9dae7d8,183.0,20047.0,0.0,0.0,0.0,0.0,0.0,4.371584699453552,3.825136612021858,0.0,0.546448087431694,7.103825136612022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.92896174863388,4.371584699453552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.103825136612022
burnash_gspread,2024-12-31,46f11e0a717fefd7197dc19c7f5f1db083f28928,16.0,3471.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.25,81.25,6.25,6.25,0.0,0.0,0.0,0.0,6.25,0.0,0.0,62.5
camptocamp_c2cgeoportal,2024-12-31,42632e96377a04665556aa623daf81f9760c92bd,269.0,20281.0,0.0,0.0,0.0,0.0,0.0,1.858736059479554,1.858736059479554,0.0,0.0,44.237918215613384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.486988847583643,0.37174721189591076,0.0,2.6022304832713754,0.0,0.0,0.0,37.174721189591075,65.4275092936803,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.37174721189591076,14.869888475836431
camptocamp_tilecloud,2024-12-31,262bc7b29a134f8ca788c1412f6fbb6677d56322,82.0,3451.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.609756097560975,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.19512195121951,81.70731707317073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.414634146341465
canonical_ubuntu-drivers-common,2024-12-31,ec21c55dfba41cdcf9985946effbd3dd7986e1ca,15.0,6014.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carlfk_veyepar,2024-12-31,d95e6b033a28c282ff73b09463408c046c9807d1,146.0,12842.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.068493150684931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
carltongibson_django-filter,2024-12-31,2a644e176634ec0ce99d9446d980501e9763e194,35.0,5999.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.571428571428571,8.571428571428571,0.0,0.0,0.0,0.0,2.857142857142857,0.0,0.0,0.0
ccnmtl_django-pagetree,2024-12-31,fbbc13c35fe2d43cbe04d2e157f5607f5b888fa8,27.0,2307.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
celery_celery,2024-12-31,f0ff79cff6a8794174a6e2e189ed1431257b6406,349.0,48334.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.53581661891118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8595988538681949,0.28653295128939826,0.5730659025787965,3.151862464183381,0.0,0.28653295128939826,1.4326647564469914,21.20343839541547,20.34383954154728,0.5730659025787965,0.5730659025787965,0.0,0.0,0.0,0.0,2.5787965616045847,0.0,0.0,7.163323782234957
celery_kombu,2024-12-31,1a5eb30ea6e5840bf4551eaf7bedb5745c411fce,157.0,21692.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.21656050955414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6369426751592357,1.2738853503184715,0.0,0.0,2.547770700636943,0.0,0.0,0.6369426751592357,19.745222929936308,22.29299363057325,0.0,0.0,0.0,0.0,0.0,0.0,0.6369426751592357,0.0,0.0,8.280254777070063
cellcognition_cecog,2024-12-31,bb3e1da2f12db48b67838403155e09fd9d5ab4a8,121.0,10255.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cellprofiler_cellprofiler,2024-12-31,0c627261522171870577e9f3a198e8c6e6e3036b,703.0,96762.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.815078236130867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1422475106685633,0.0,0.1422475106685633,0.0,0.0,0.2844950213371266,1.422475106685633,0.42674253200568996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.42674253200568996,0.0,0.1422475106685633
cellprofiler_cellprofiler-analyst,2024-12-31,8a7f924052867192b425e4b7f89137fadbbd93fa,78.0,18368.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.076923076923077,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.564102564102564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ceph_s3-tests,2024-12-31,7c2d810e9160e89a2b5c5e1a155254efb80a1add,19.0,14961.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.052631578947366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ceph_teuthology,2024-12-31,8aa35231626c6ecbac35b361f00b7fb9f4d1fa25,212.0,19511.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.622641509433961,0.0,0.4716981132075472,0.4716981132075472,0.0,0.0,0.0,0.0,0.4716981132075472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.132075471698113,5.660377358490567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9433962264150944,0.0,0.9433962264150944
chapmanb_bcbb,2024-12-31,eec72c3faca1e5e9e4e48dbf46d396a9045baa3b,155.0,8485.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chazdazzle_fpdb-chaz,2024-12-31,b6ff060490106c1d4d0bab0ccee402f800fcce4a,119.0,10926.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
chirpradio_chirpradio-machine,2024-12-31,cf7a20722e1bf00d8f4ec68b0686ddf89b4910c2,91.0,3593.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cinemagoer_cinemagoer,2024-12-31,3051a3a14bd1d0cffeca06854a2ab3602762badf,95.0,9479.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.1052631578947367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ckan_ckan,2024-12-31,2c67ce1b7e0d59fd8c61efd3df9dd69da626ee1e,552.0,51738.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.05072463768116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.36231884057971014,0.0,0.0,0.0,0.36231884057971014,0.0,0.0,0.0,44.20289855072464,31.521739130434785,0.18115942028985507,0.18115942028985507,0.0,0.0,0.0,0.0,0.0,0.36231884057971014,0.0,18.84057971014493
ckan_ckanext-harvest,2024-12-31,b901e23f0864b40b3e004c7bc9b3030425f15a71,40.0,4478.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
clalancette_oz,2024-12-31,8921d7fdab719fc7f352a77f4d57218344b7933c,31.0,5842.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
cms-dev_cms,2024-12-31,df9a5fa217553398418840f1325f4d6600e8751b,328.0,26978.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2195121951219512,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3048780487804878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6097560975609756,0.6097560975609756,0.0,0.0,0.0,0.0,0.3048780487804878,0.0,0.0,0.0
cnvogelg_amitools,2024-12-31,8b2e846dd3d6c058215938c8e4848653190736e1,402.0,36610.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24875621890547264,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4975124378109453,0.0,1.7412935323383085,1.7412935323383085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
